
Solamente esta exento de fracasos el que no hace esfuerzos, RICHARD WHATELY

“Sentirse fracasado es peor que sentirse humillado; de la humillación nace el coraje, del fracaso, el suicidio, ANTOINE DE SAINT EXUPERY

“Un fracasado es un hombre que ha cometido un error, pero que no es capaz de convertirlo en experiencia, ELBERT HUBBARD

“Para esquivar la derrota no existe arsenal ni arma en el mundo tan formidable como la voluntad y el valor moral de los hombres libres, RONALD REAGAN

“Quien teme perder ya esta vencido, RAY BRADBURY

“El peor fracaso es la perdida del entusiasmo, MATTHEW ARNOLD

“Un experimento nunca puede ser un fracaso, pues siempre viene a demostrar algo, THOMAS ALVA EDISON

“La fortuna no cambia a los hombres; solamente les quita la mascara, ALFONSO TEJA ZABOC

“Los tontos encomiendan su vida al acaso ciego, y el acaso lo lleva, ALBERTO VAZQUES

“Para adelgazar no hay nada como comer caviar sin pan, y beber champán sin burbujas, ELIZABETH TAYLOR

“Queremos ser dueños del futuro solamente para cambiar el pasado, MILAM KUNDERA

“El mejor profeta del futuro es el pasado, LORD BYRON

“El futuro tiene muchos nombres. Para los débiles es lo inalcanzable; para los temerosos, lo desconocido; para los valientes es la oportunidad, VÍCTOR HUGO

“No es necesario renunciar al pasado para entrar en el porvenir. Al cambiar las cosas, no es preciso perderlas, JONH CAGE

“La mera supervivencia no debe ser nuestra herencia a las generaciones venideras, GEORGE SCHALLER

“¿Para que voy a emprender una batalla que quiero ganar si se de antemano que, no emprendiéndola, es como la gano, JOSEFINA VICENS
“Una era construye ciudades; una hora las destruye, LUCIO ANNEO SÉNECA

“No hay nada mas silencioso que un cañón cargado, HEINRICH BOLL

“Solo hay una guerra que puede permitirse la especie humana: la guerra contra su propia extinción, ISAAC ASIMOV

“La guerra es un exterminio de seres humanos. ¿A quien se le ocurriría jamás pensar que pueda ser justa?, MADRE TERESA

“Las armas se deben reservar para el ultimo lugar, donde y cuando los otros medios no basten, NICOLAS MAQUIAVELO

“Inteligencia militar son dos términos contradictorios, ANONIMO

“No se como será la tercera guerra mundial; solo se que la cuarta será con piedras y lanzas, EINSTEIN

“Cuando un hombre comienza al fin a comprender que quizás su padre tenia razón, por lo general, ya tiene un hijo que cree que su propio padre esta equivocado, C.W.

“El niño no es un vaso que llenar, sino un fuego que encender, FRANCOIS

“La mas hermosa herencia que podemos dejar a un hijo es permitirle hallar su propio camino enteramente por sus pies, ISADORA DUNCAN

“Llega un niño a nuestro hogar y durante 20 años hace tanto ruido que es difícil poder tolerar; luego se va y deja la casa tan callada que parece que nos vamos a volver locos, ANÓNIMO

“Por severo que sea un padre juzgando a su hijo, nunca es tan severo como un hijo juzgando a su padre, ENRIQUE JARDIEL PONCELA

“El hogar es un lugar que deseamos abandonar mientras crecemos, y al que deseamos volver mientras envejecemos, JEAN ANTOINE DE CERCEAU

“El hombre, créeme, no nace hombre, se hace hombre, ROTTERDAN

“Solo se que no se nada, SOCRATES

“Vale mas ser cobarde un minuto, que muerto el resto de la vida, ANÓNIMO

“Las personas debemos el progreso a los insatisfechos, ALDOUS HUXLEY

“La imaginación es mas importante que el conocimiento, ALBERT EINSTEIN

“La imaginación es la vos del atrevimiento, HENRY MILLER

“No hay superstición que no haya nacido de una necesidad, GRAF

“La infancia muestra al hombre como la mañana muestra al día, MILTON

.“El talento infantil proviene de ignorar que hay alternativas, M.A.

“Los niños encuentran todo en nada; los hombres no encuentran nada en todo, GIACOMO LEOPARDI

“Los niños no tienen ni pasado ni futuro. Por eso gozan del presente, cosa que rara vez nos ocurre a nosotros, LA BRUYERE

“El bebe es la opinión de dios de que el mundo debe de continuar, CARL SANDBURG

“No puedo creer que me condecoren. Yo creía que era necesario conducir tanques y ganar guerras, JONN LENNON

“Son los inocentes, y no los sabios, los que resuelven las situaciones difíciles, PIO BAROJA

“Terminado el juego, el rey y el peón vuelven a la misma caja, PROVERBIO ITALIANO


“La justicia de un hombre es injusticia del otro, RALPH WALDO EMERSON

“La obra maestra de la injusticia es parecer justo sin serlo, PLATÓN

“Se justo en el momento preciso. Toda justicia que tarda es injusticia, MARCEL SCHVEDRA

